Participant_ID,Condition,Reversals,Reversal_rate,Session_Length_min_sec
participant_01_RT,A,268,49.387114508693415,5:25
participant_01_RT,C,536,47.755165680429435,11:13
participant_01_RT,B,812,47.803933227560265,16:59
participant_24_OL,A,342,32.08149826225218,10:39
participant_24_OL,C,644,36.236267214336955,17:46
participant_24_OL,B,477,32.5874578139304,14:38
participant_10_OL,A,227,28.363004812548024,8:00
participant_10_OL,C,483,33.20858151916082,14:32
participant_10_OL,B,408,27.394378333374366,14:53
participant_11_RT,A,246,41.07747668519235,5:59
participant_11_RT,C,368,42.31392795133898,8:41
participant_11_RT,B,487,38.508120047285125,12:38
participant_04_OL,A,241,34.55436577445032,6:58
participant_04_OL,C,474,42.48200041824754,11:09
participant_04_OL,B,556,34.38990899456936,16:10
participant_05_RT,A,322,36.571722789369964,8:48
participant_05_RT,C,566,45.88308729946415,12:20
participant_05_RT,B,579,40.67077510957929,14:14
participant_15_RT,A,287,27.9724823547567,10:15
participant_15_RT,C,415,31.83316862758133,13:02
participant_15_RT,B,537,29.31521406839125,18:19
participant_14_OL,A,311,44.862239746117226,6:55
participant_14_OL,C,561,48.4396698734323,11:34
participant_14_OL,B,554,46.72292909472216,11:51
participant_20_OL,A,186,30.293241838332893,6:08
participant_20_OL,C,386,33.39591462412292,11:33
participant_20_OL,B,315,29.438564519520572,10:42
participant_21_RT,A,262,40.75516309842942,6:25
participant_21_RT,C,399,46.477585339952284,8:35
participant_21_RT,B,704,46.73259089289784,15:03
participant_08_OL,A,167,28.4040173825783,5:52
participant_08_OL,C,354,34.40121797155907,10:17
participant_08_OL,B,433,26.911793953858393,16:05
participant_09_RT,A,381,37.5671105370322,10:08
participant_09_RT,C,621,37.75802839452377,16:26
participant_09_RT,B,637,43.90948350637101,14:30
participant_19_RT,A,387,45.5100476855926,8:30
participant_19_RT,C,520,47.709340020796375,10:53
participant_19_RT,B,922,56.405581827858974,16:20
participant_18_OL,A,358,36.253225743840915,9:52
participant_18_OL,C,421,38.79201124139043,10:51
participant_18_OL,B,428,34.39652712945712,12:26
participant_07_RT,A,253,33.27779726411785,7:36
participant_07_RT,C,414,42.82286092569096,9:40
participant_07_RT,B,621,35.2111345053998,17:38
participant_06_OL,A,172,28.04393549894835,6:07
participant_06_OL,C,496,28.94395415651132,17:08
participant_06_OL,B,398,24.704513125565757,16:06
participant_16_OL,A,237,28.42925374208549,8:20
participant_16_OL,C,440,35.82089552238806,12:17
participant_16_OL,B,394,27.43474673341991,14:21
participant_17_RT,A,263,36.67157790037787,7:10
participant_17_RT,C,438,45.64393906499399,9:35
participant_17_RT,B,416,32.44993077088087,12:49
participant_23_RT,A,382,36.366117314048076,10:30
participant_23_RT,C,502,36.42758143596268,13:46
participant_23_RT,B,490,36.6568000857819,13:22
participant_22_OL,A,297,34.75486314541263,8:32
participant_22_OL,C,499,35.87845902377997,13:54
participant_22_OL,B,484,36.57896029595704,13:13
participant_02_OL,A,264,28.334540771150287,9:19
participant_02_OL,C,451,37.225503183977345,12:06
participant_02_OL,B,493,28.855130272426376,17:05
participant_03_RT,A,250,33.923834207437466,7:22
participant_03_RT,C,460,38.37042474391912,11:59
participant_03_RT,B,565,36.653165903689754,15:24
participant_13_RT,A,201,31.277474771837824,6:25
participant_13_RT,C,357,37.16988302419166,9:36
participant_13_RT,B,431,29.78336231817292,14:28
participant_12_OL,A,226,31.321243702836238,7:12
participant_12_OL,C,348,36.75965733238969,9:28
participant_12_OL,B,355,31.206962229319895,11:22
