Participant_ID,Condition,Reversals,Reversal_rate,Session_Length_min_sec,Throttle_SD,Throttle_CV
participant_01_RT,A,136,25.06296455556240,5:25,0.1435195045323850,0.27240359613172400
participant_01_RT,C,564,48.23467366050430,11:41,0.4859491684994460,1.0374707438025400
participant_01_RT,B,642,38.102473099772700,16:50,0.29736892160857700,0.5571951589479040
participant_24_OL,A,205,21.18023866512840,9:40,0.13374988935473100,0.18423546576541400
participant_24_OL,C,1058,56.29186641056880,18:47,0.3560722796959860,0.4887629365198050
participant_24_OL,B,659,45.01909383418310,14:38,0.22281375197338200,0.30590247560969600
participant_10_OL,A,566,70.7010984069352,8:00,0.2337928221697350,0.33724726157776000
participant_10_OL,C,927,61.73682265148660,15:00,0.27224256496574800,0.4193946435005950
participant_10_OL,B,629,41.95934812917340,14:59,0.2426232714745890,0.38103918741796000
participant_11_RT,A,151,25.203842334109500,5:59,0.20078624675656300,0.35338463889107900
participant_11_RT,C,580,46.07843396880970,12:35,0.6330999537722150,1.0013259405851800
participant_11_RT,B,517,41.04260386345590,12:35,0.4246313109493360,0.9139460175604880
participant_04_OL,A,234,33.543898546431100,6:58,0.2184477721478510,0.40515953246524200
participant_04_OL,C,511,43.794869743830000,11:40,0.46593555847034000,1.0269781175246500
participant_04_OL,B,158,18.55058851155010,8:31,0.5724123609448170,1.13050678993434
participant_05_RT,A,18,2.5411824498410600,7:04,0.11061770377333500,0.16341518895450400
participant_05_RT,C,401,31.251055340085800,12:49,0.17764966272764500,0.2615013195999810
participant_05_RT,B,76,5.790218847416310,13:07,0.11614213907824300,0.1623374081900250
participant_15_RT,A,279,36.78360954000710,7:35,0.20796710790813800,0.2809793801504350
participant_15_RT,C,580,42.79668989739860,13:33,0.30854977888918900,0.46212199327765400
participant_15_RT,B,452,33.65636995200990,13:25,0.21472242145081900,0.2903509607206190
participant_14_OL,A,579,85.91524216524220,6:44,0.42294955131712100,0.8388488939592450
participant_14_OL,C,934,82.75397673910350,11:17,0.6102153340301560,1.048317907766260
participant_14_OL,B,854,71.11145652195030,12:00,0.28368450584716800,0.44540529544527200
participant_20_OL,A,401,63.712483515785100,6:17,0.2598714475034870,0.4490297641226900
participant_20_OL,C,974,82.92161041599860,11:44,0.41179847556941400,0.6929025004560910
participant_20_OL,B,686,64.10096680952860,10:42,0.2576522041981180,0.38231324246885100
participant_21_RT,A,266,41.362473662522600,6:25,0.21585755560766500,0.36483460952626000
participant_21_RT,C,614,57.455668366630800,10:41,0.2939284427417340,0.48404789404449100
participant_21_RT,B,596,39.291478825343000,15:10,0.2552098533925530,0.4280434940700790
participant_08_OL,A,208,37.12374283479040,5:36,0.35608326694615800,0.7433484333672940
participant_08_OL,C,520,50.46959368741850,10:18,0.33935169384978300,0.757360928425822
participant_08_OL,B,211,14.443893005664600,14:36,0.18177374709184900,0.3037223195902690
participant_09_RT,A,220,21.718670817346000,10:07,0.11153285618799700,0.15114640601648100
participant_09_RT,C,704,37.05458182009580,18:59,0.12614986673892500,0.16136289474908100
participant_09_RT,B,528,36.39760244580860,14:30,0.14321609660342400,0.192397930108222
participant_19_RT,A,542,62.624208531681800,8:39,0.23720326643692000,0.335442856646721
participant_19_RT,C,667,52.78959087407530,12:38,0.6363321835897870,1.0885109952230300
participant_19_RT,B,933,56.06679139307650,16:38,0.26461826616039500,0.4048342347892690
participant_18_OL,A,32,7.672297013798150,4:10,0.1508526716867350,0.21602512643770200
participant_18_OL,C,284,24.657450992592600,11:31,0.2154998708106860,0.32877131449595400
participant_18_OL,B,216,18.46474743473940,11:41,0.32819510853842600,0.5940744161913500
participant_07_RT,A,492,64.7013698630137,7:36,0.27166092352834300,0.5436219883585230
participant_07_RT,C,497,41.1630565018856,12:04,0.5286629898378340,0.9347342414083750
participant_07_RT,B,993,56.9822913040318,17:25,0.4474884893601850,0.9078640011306270
participant_06_OL,A,94,18.236197558806900,5:09,0.14871787262884000,0.234288817883862
participant_06_OL,C,738,43.0865038435341,17:07,0.3305421242671850,0.47963791630817900
participant_06_OL,B,131,14.286649071913100,9:10,0.12382003488947200,0.16167194424864400
participant_16_OL,A,84,10.074338221919300,8:20,0.11990770628623500,0.1751267926197200
participant_16_OL,C,461,35.24442377405850,13:04,0.20229235066970300,0.3052065544513080
participant_16_OL,B,87,6.5069188991091,13:22,0.08758223691273260,0.12145785682195100
participant_17_RT,A,215,29.976924739328600,7:10,0.172435022578493,0.2793157127727380
participant_17_RT,C,519,41.00443753868030,12:39,0.3947510277472640,0.6270121317337250
participant_17_RT,B,411,32.05782368196980,12:49,0.18220535417118100,0.27653019135674600
participant_23_RT,A,617,57.203959465849100,10:47,0.33864164661919700,0.4695100631827960
participant_23_RT,C,931,58.23329806253880,15:59,0.658336335237127,0.9644813675760670
participant_23_RT,B,874,56.468277512940600,15:28,0.4038599071452870,0.5557801016475370
participant_22_OL,A,308,43.18422934377730,7:07,0.18692685113584200,0.2687482002742140
participant_22_OL,C,787,55.378271592776200,14:12,0.2803991740157950,0.41687630698287900
participant_22_OL,B,166,15.175870974623100,10:56,0.11633878338818400,0.17814217897960000
participant_02_OL,A,63,7.9096541723425800,7:57,0.10919666758997600,0.1506832086104710
participant_02_OL,C,458,38.78135108130540,11:48,0.17794521421430100,0.27343021963865900
participant_02_OL,B,154,11.395660029475800,13:30,0.10106812755331500,0.14873766182825000
participant_03_RT,A,91,13.119039667074300,6:56,0.12506965677955500,0.18092396200341100
participant_03_RT,C,328,27.116701021836700,12:05,0.12266380790282000,0.17510078687389500
participant_03_RT,B,118,8.38351998901143,14:04,0.06380340186493800,0.08963928894612600
participant_13_RT,A,94,16.587308356297700,5:40,0.15523836826912600,0.2752185445107890
participant_13_RT,C,394,40.27545412107850,9:46,0.5533100961223020,1.1215478040041800
participant_13_RT,B,349,23.935039343078000,14:34,0.22822762300270400,0.3925729107333770
participant_12_OL,A,164,22.724228554009300,7:13,0.23072050595513200,0.36308059721405100
participant_12_OL,C,610,56.51409918687640,10:47,0.34430638501277900,0.6416603919533770
participant_12_OL,B,348,29.97278333467310,11:36,0.33832638786996600,0.6079855803773740
