Participant ID,Condition,Event ID,Question Timestamp (s),Answer Timestamp (s),Time Difference (s),Answer Accuracy,Confidence
01_RT,B_R,E1_../audio/B/Mark_C.wav,37.28,47.85,10.57,Correct,7
01_RT,B_R,E2_../audio/B/BendR_PR.wav,59.66,62.85,3.19,Correct,7
01_RT,B_R,E3_../audio/B/Cone_A.wav,74.43,77.58,3.15,Correct,6
01_RT,B_R,E4_../audio/B/Toad_PR.wav,98.53,101.28,2.75,Correct,7
01_RT,B_R,E5_../audio/B/Constr_P.wav,124.5,130.00,5.5,Correct,7
01_RT,B_R,E6_../audio/B/Cone_B.wav,134.0,135.60,1.6,Correct,7
01_RT,B_R,E7_../audio/B/ICE_C.wav,163.90,165.47,1.57,Correct,7
01_RT,B_R,E8_../audio/B/Tar_P.wav,175.78,178.76,2.98,Incorrect,5
01_RT,B_R,E9_../audio/B/Cone_C.wav,188.50,189.90,1.40,Correct,7
01_RT,B_R,E10_../audio/B/BendR_C.wav,218.65,220.06,1.41,Correct,7
01_RT,B_R,E11_../audio/B/Mark_P.wav,229.52,234.56,5.04,Incorrect,5
01_RT,B_R,E12_../audio/B/Cone_A.wav,242.62,245.05,2.43,Correct,7
01_RT,B_R,E13_../audio/B/Constr_C.wav,267.91,271.89,3.98,Correct,7
01_RT,B_R,E14_../audio/B/Toad_P.wav,280.04,281.63,1.59,Correct,7
01_RT,B_R,E15_../audio/B/Cone_B.wav,289.71,291.00,1.29,Correct,7
01_RT,B_R,E16_../audio/B/Tar_PR.wav,313.49,320.38,6.89,Correct,3
01_RT,B_R,E17_../audio/B/ICE_P.wav,349.68,351.99,2.31,Correct,7
01_RT,B_R,E18_../audio/B/Cone_C.wav,360.16,361.86,1.70,Correct,7
01_RT,B_R,E19_../audio/B/Mark_PR.wav,384.04,390.46,6.42,Correct,7
01_RT,B_R,E20_../audio/B/BendR_P.wav,396.91,398.99,2.08,Correct,7
01_RT,B_R,E21_../audio/B/Cone_C.wav,407.01,410.17,3.16,Correct,7
01_RT,B_R,E22_../audio/B/Toad_C.wav,426.09,429.39,3.30,Correct,7
01_RT,B_R,E23_../audio/B/Constr_PR.wav,437.93,444.08,6.15,Correct,7
01_RT,B_R,E24_../audio/B/Cone_B.wav,452.59,456.16,3.57,Correct,7
01_RT,B_R,E25_../audio/B/ICE_PR.wav,475.97,480.40,4.43,Correct,7
01_RT,B_R,E26_../audio/B/Tar_C.wav,486.83,491.94,5.11,Correct,7
01_RT,B_R,E27_../audio/B/Cone_A.wav,500.45,501.45,1.00,Correct,7
01_RT,B_L,E1_../audio/B/Duck_P.wav,41.76,43.00,1.24,Correct,7
