Participant ID,Condition,Hard Braking Events,Session Length (min:sec)
01_RT,A,1,9:44
01_RT,C,36,29:49
01_RT,B,0,31:27
24_OL,A,0,14:05
24_OL,C,0,40:22
24_OL,B,0,19:24
10_OL,A,0,14:53
10_OL,C,3,37:55
10_OL,B,0,21:54
11_RT,A,0,39:15
11_RT,C,24,23:38
11_RT,B,0,24:03
04_OL,A,1,14:38
04_OL,C,30,33:31
04_OL,B,2,22:47
05_RT,A,0,14:32
05_RT,C,0,42:04
05_RT,B,0,24:30
15_RT,A,0,14:57
15_RT,C,0,31:08
15_RT,B,0,47:28
14_OL,A,0,18:51
14_OL,C,9,50:30
14_OL,B,1,28:44
20_OL,A,0,10:28
20_OL,C,10,30:38
20_OL,B,0,15:22
21_RT,A,0,11:22
21_RT,C,1,24:26
21_RT,B,0,21:56
08_OL,A,1,11:43
08_OL,C,14,34:37
08_OL,B,0,23:54
09_RT,A,0,14:15
09_RT,C,0,36:52
09_RT,B,0,25:41
19_RT,A,0,12:49
19_RT,C,17,26:56
19_RT,B,0,24:20
18_OL,A,0,14:34
18_OL,C,0,29:18
18_OL,B,0,17:52
07_RT,A,0,15:23
07_RT,C,8,31:07
07_RT,B,0,27:47
06_OL,A,0,11:02
06_OL,C,0,39:39
06_OL,B,0,21:36
16_OL,A,0,12:48
16_OL,C,1,31:55
16_OL,B,0,20:42
17_RT,A,0,11:03
17_RT,C,4,24:54
17_RT,B,0,22:21
23_RT,A,0,14:02
23_RT,C,0,28:05
23_RT,B,0,23:38
22_OL,A,1,13:50
22_OL,C,0,38:13
22_OL,B,0,18:27
02_OL,A,0,14:17
02_OL,C,0,57:58
02_OL,B,0,19:16
03_RT,A,0,10:58
03_RT,C,0,29:45
03_RT,B,0,21:53
13_RT,A,0,10:45
13_RT,C,27,29:10
13_RT,B,0,24:24
12_OL,A,0,28:47
12_OL,C,2,29:50
12_OL,B,0,17:23
